id,title,category,price,description,image_url,rating,review_count,created_at
1,BookWorm Casual Sneakers,Clothing,217.85,Top-rated clothing item with outstanding performance. Highly recommended by customers.,https://picsum.photos/seed/0/400/400,3.5,1668,2025-06-18 01:28:26.695178
2,StyleMax Laptop Stand Adjustable,Electronics,428.71,Best-selling electronics product with 5-star reviews. Great value for money.,https://picsum.photos/seed/1/400/400,4.8,1767,2025-05-24 01:28:26.695202
3,ValueBrand Sports & Outdoors Product,Sports & Outdoors,249.04,Top-rated sports & outdoors item with outstanding performance. Highly recommended by customers.,https://picsum.photos/seed/2/400/400,3.8,3990,2025-01-27 01:28:26.695211
4,BookWorm Tools & Home Improvement Product,Tools & Home Improvement,309.39,Professional-grade bookworm tools & home improvement product designed for home and office use. Easy to use and reliable.,https://picsum.photos/seed/3/400/400,4.8,1007,2025-07-10 01:28:26.695219
5,LifeStyle Health & Household Product,Health & Household,137.29,Top-rated health & household item with outstanding performance. Highly recommended by customers.,https://picsum.photos/seed/4/400/400,3.9,3845,2025-05-17 01:28:26.695226
6,ProGear Automotive Product,Automotive,375.98,Premium progear automotive product featuring advanced technology and excellent durability. Trusted by thousands.,https://picsum.photos/seed/5/400/400,4.3,4873,2025-01-31 01:28:26.695238
7,BookWorm Sports & Outdoors Product,Sports & Outdoors,186.24,Top-rated sports & outdoors item with outstanding performance. Highly recommended by customers.,https://picsum.photos/seed/6/400/400,4.2,3899,2025-10-29 01:28:26.695244
8,TechPro Running Shoes Athletic,Clothing,338.8,Best-selling clothing product with 5-star reviews. Great value for money.,https://picsum.photos/seed/7/400/400,3.6,3677,2025-07-02 01:28:26.695253
9,StyleMax Non-Stick Pan Set,Home & Kitchen,53.38,Top-rated home & kitchen item with outstanding performance. Highly recommended by customers.,https://picsum.photos/seed/8/400/400,4.2,655,2025-11-27 01:28:26.695261
10,FitGear Wireless Mouse,Electronics,66.71,Premium fitgear wireless mouse featuring advanced technology and excellent durability. Trusted by thousands.,https://picsum.photos/seed/9/400/400,3.9,4748,2025-06-10 01:28:26.695270
11,Mastering Finance in 30 Days,Books,139.67,Premium mastering finance in 30 days featuring advanced technology and excellent durability. Trusted by thousands.,https://picsum.photos/seed/10/400/400,4.9,3757,2025-12-25 01:28:26.695279
12,HomeEssentials Health & Household Product,Health & Household,151.35,Premium homeessentials health & household product featuring advanced technology and excellent durability. Trusted by thousands.,https://picsum.photos/seed/11/400/400,4.4,2763,2025-03-08 01:28:26.695285
13,HomeEssentials Tools & Home Improvement Product,Tools & Home Improvement,353.44,Professional-grade homeessentials tools & home improvement product designed for home and office use. Easy to use and reliable.,https://picsum.photos/seed/12/400/400,3.8,151,2025-02-24 01:28:26.695293
14,FitGear Automotive Product,Automotive,435.08,Top-rated automotive item with outstanding performance. Highly recommended by customers.,https://picsum.photos/seed/13/400/400,4.2,107,2025-04-13 01:28:26.695300
15,EliteChoice Casual T-Shirt,Clothing,112.08,Premium elitechoice casual t-shirt featuring advanced technology and excellent durability. Trusted by thousands.,https://picsum.photos/seed/14/400/400,4.8,2110,2025-07-16 01:28:26.695309
16,ValueBrand Sports & Outdoors Product,Sports & Outdoors,181.13,Top-rated sports & outdoors item with outstanding performance. Highly recommended by customers.,https://picsum.photos/seed/15/400/400,4.3,2748,2025-03-10 01:28:26.695315
17,MasterChef USB-C Fast Charger,Electronics,421.21,High-quality electronics item with premium features. Perfect for everyday use and built to last.,https://picsum.photos/seed/16/400/400,3.8,1720,2025-12-18 01:28:26.695323
18,PremiumPlus Beauty & Personal Care Product,Beauty & Personal Care,420.37,High-quality beauty & personal care item with premium features. Perfect for everyday use and built to last.,https://picsum.photos/seed/17/400/400,3.9,1524,2025-12-31 01:28:26.695328
19,MasterChef Sports & Outdoors Product,Sports & Outdoors,73.57,Top-rated sports & outdoors item with outstanding performance. Highly recommended by customers.,https://picsum.photos/seed/18/400/400,4.0,3937,2025-02-14 01:28:26.695334
20,TechZone Sports & Outdoors Product,Sports & Outdoors,406.01,Premium techzone sports & outdoors product featuring advanced technology and excellent durability. Trusted by thousands.,https://picsum.photos/seed/19/400/400,4.3,948,2025-01-29 01:28:26.695339
21,ProGear Casual Sneakers,Clothing,424.42,High-quality clothing item with premium features. Perfect for everyday use and built to last.,https://picsum.photos/seed/20/400/400,3.9,2038,2025-03-02 01:28:26.695347
22,ProGear Health & Household Product,Health & Household,436.54,Professional-grade progear health & household product designed for home and office use. Easy to use and reliable.,https://picsum.photos/seed/21/400/400,4.0,467,2025-02-04 01:28:26.695352
23,SmartLife Laptop Stand Adjustable,Electronics,498.29,Professional-grade smartlife laptop stand adjustable designed for home and office use. Easy to use and reliable.,https://picsum.photos/seed/22/400/400,3.8,1175,2025-06-01 01:28:26.695362
24,TechZone Tools & Home Improvement Product,Tools & Home Improvement,296.79,Top-rated tools & home improvement item with outstanding performance. Highly recommended by customers.,https://picsum.photos/seed/23/400/400,4.1,2478,2025-05-28 01:28:26.695368
25,PremiumPlus Casual Sneakers,Clothing,189.54,Best-selling clothing product with 5-star reviews. Great value for money.,https://picsum.photos/seed/24/400/400,4.0,2907,2025-11-04 01:28:26.695376
26,Mastering Cooking in 30 Days,Books,490.74,Premium mastering cooking in 30 days featuring advanced technology and excellent durability. Trusted by thousands.,https://picsum.photos/seed/25/400/400,4.2,4628,2025-06-29 01:28:26.695385
27,TechZone Non-Stick Pan Set,Home & Kitchen,275.75,Premium techzone non-stick pan set featuring advanced technology and excellent durability. Trusted by thousands.,https://picsum.photos/seed/26/400/400,4.7,143,2025-10-10 01:28:26.695393
28,TechZone Beauty & Personal Care Product,Beauty & Personal Care,321.02,Professional-grade techzone beauty & personal care product designed for home and office use. Easy to use and reliable.,https://picsum.photos/seed/27/400/400,4.3,4199,2025-07-29 01:28:26.695398
29,ProGear Toys & Games Product,Toys & Games,489.84,Professional-grade progear toys & games product designed for home and office use. Easy to use and reliable.,https://picsum.photos/seed/28/400/400,3.9,3342,2025-11-07 01:28:26.695404
30,Essential Guide to Finance,Books,229.45,Best-selling books product with 5-star reviews. Great value for money.,https://picsum.photos/seed/29/400/400,3.7,3481,2025-01-05 01:28:26.695412
31,SmartHome Automotive Product,Automotive,302.77,Professional-grade smarthome automotive product designed for home and office use. Easy to use and reliable.,https://picsum.photos/seed/30/400/400,4.7,4453,2025-02-03 01:28:26.695417
